Epoch,Train_Loss,Val_Loss,Val_mIoU,Background,White_Solid,White_Dotted,Yellow_Solid,Yellow_Dotted,Blue_Solid,Blue_Dotted,Crosswalk,Stop_Line
1,1.3190,0.2440,0.4247,0.9859,0.4580,0.4799,0.4163,0.0000,0.1476,0.1077,0.3369,0.0122
2,0.8171,0.2019,0.4716,0.9875,0.5015,0.5281,0.4351,0.0000,0.1418,0.0156,0.4798,0.1771
3,0.7691,0.1830,0.5093,0.9885,0.5271,0.5626,0.4882,0.0000,0.2234,0.2320,0.4976,0.2290
4,0.7397,0.1782,0.5159,0.9886,0.5431,0.5775,0.4956,0.0000,0.2684,0.2934,0.4946,0.1863
5,0.7220,0.1719,0.5335,0.9887,0.5539,0.5820,0.4981,0.0000,0.3738,0.2483,0.5171,0.2715
6,0.6880,0.1643,0.5461,0.9891,0.5640,0.6004,0.5104,0.0000,0.3551,0.3344,0.5224,0.2915
7,0.6729,0.1639,0.5538,0.9892,0.5664,0.5975,0.5038,0.0000,0.3983,0.3640,0.5517,0.3058
8,0.6630,0.1609,0.5569,0.9896,0.5669,0.6090,0.5287,0.0000,0.3544,0.3665,0.5394,0.3323
9,0.6545,0.1612,0.5630,0.9894,0.5743,0.6102,0.5202,0.0000,0.4346,0.3706,0.5413,0.3319
10,0.6485,0.1565,0.5642,0.9899,0.5819,0.6129,0.5242,0.0000,0.4253,0.3630,0.5420,0.3468
11,0.6433,0.1589,0.5632,0.9895,0.5766,0.6188,0.5357,0.0000,0.3899,0.3838,0.5293,0.3293
12,0.6368,0.1550,0.5727,0.9901,0.5788,0.6191,0.5275,0.0000,0.4152,0.3599,0.5771,0.3709
13,0.6328,0.1536,0.5790,0.9901,0.5920,0.6275,0.5328,0.0007,0.4147,0.4000,0.5741,0.3850
14,0.6279,0.1517,0.5807,0.9901,0.5866,0.6266,0.5296,0.0449,0.4350,0.4189,0.5749,0.3752
15,0.6238,0.1499,0.5905,0.9902,0.5903,0.6228,0.5469,0.1071,0.4652,0.4216,0.5857,0.3990
